2026-05-06 04:02:11 | INFO     | run                  | ======================================================================
2026-05-06 04:12:23 | INFO     | run                  |    - Log directory: logs
2026-05-06 04:12:23 | INFO     | run                  | ======================================================================
2026-05-06 04:12:23 | INFO     | fetch_data           | Fetching data (Attempt 1/3)...
2026-05-06 04:12:23 | DEBUG    | fetch_data           | Establishing session with https://dps.psx.com.pk/
2026-05-06 04:12:27 | DEBUG    | fetch_data           | Requesting data from https://dps.psx.com.pk/market-watch
2026-05-06 04:12:28 | DEBUG    | fetch_data           | Response status: 200
2026-05-06 04:12:28 | DEBUG    | fetch_data           | Response content type: text/html; charset=utf-8
2026-05-06 04:12:28 | DEBUG    | fetch_data           | Response size: 463512 bytes
2026-05-06 04:12:28 | INFO     | fetch_data           | ✅ Data fetched successfully (Status: 200)
2026-05-06 04:12:28 | DEBUG    | parse_json           | Attempting JSON parsing...
2026-05-06 04:12:28 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-05-06 04:12:28 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-05-06 04:12:28 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-05-06 04:12:28 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-05-06 04:12:28 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-05-06 04:12:28 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-05-06 04:12:28 | DEBUG    | parse_html           | Table shape: (484, 11)
2026-05-06 04:12:28 | INFO     | parse_html           | ✅ HTML parsed successfully (484 rows)
2026-05-06 04:12:28 | INFO     | clean_data           | Cleaning data...
2026-05-06 04:12:28 | DEBUG    | clean_data           | Initial shape: (484, 11)
2026-05-06 04:12:28 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-05-06 04:12:28 | DEBUG    | clean_data           | Removed 'LISTED IN' column
2026-05-06 04:12:28 | DEBUG    | clean_data           | Converted LDCP from float64 to numeric
2026-05-06 04:12:28 | DEBUG    | clean_data           | Converted OPEN from float64 to numeric
2026-05-06 04:12:28 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
2026-05-06 04:12:28 | DEBUG    | clean_data           | Converted LOW from float64 to numeric
2026-05-06 04:12:28 | DEBUG    | clean_data           | Converted CURRENT from float64 to numeric
2026-05-06 04:12:28 | DEBUG    | clean_data           | Converted CHANGE from float64 to numeric
2026-05-06 04:12:28 | DEBUG    | clean_data           | Converted CHANGE (%) from str to numeric
2026-05-06 04:12:28 | DEBUG    | clean_data           | Converted VOLUME from int64 to numeric
2026-05-06 04:12:28 | INFO     | clean_data           | ✅ Data cleaned (484 rows, 16 columns)
2026-05-06 04:12:28 | DEBUG    | clean_data           | Final columns: ['SYMBOL', 'SECTOR', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME', 'YEAR', 'MONTH', 'DAY', 'HOUR', 'MINUTE', 'DATETIME']
2026-05-06 04:12:28 | DEBUG    | get_file_path        | Generated file path: data/2026/05/2026-05-06.xlsx
2026-05-06 04:12:28 | INFO     | save_data            | Saving data to: data/2026/05/2026-05-06.xlsx
2026-05-06 04:12:28 | DEBUG    | save_data            | Existing file found, merging data...
2026-05-06 04:12:28 | DEBUG    | save_data            | Loaded 968 existing rows
2026-05-06 04:12:28 | DEBUG    | save_data            | Combined to 1452 rows
2026-05-06 04:12:28 | DEBUG    | save_data            | Writing to temporary file...
2026-05-06 04:12:29 | DEBUG    | save_data            | Data written to temp file: /home/runner/work/varelix-kyrion/varelix-kyrion/data/2026/05/tmp3e1tg0k7.xlsx
2026-05-06 04:12:29 | DEBUG    | save_data            | Temp file moved to final location
2026-05-06 04:12:29 | INFO     | save_data            | ✅ Data saved successfully (1452 total rows, 112365 bytes)
2026-05-06 04:12:29 | INFO     | run                  | ======================================================================
2026-05-06 04:12:29 | INFO     | run                  | 📊 EXECUTION SUMMARY:
2026-05-06 04:12:29 | INFO     | run                  |    ✅ Status: SUCCESS
2026-05-06 04:12:29 | INFO     | run                  |    - Rows processed: 484
2026-05-06 04:12:29 | INFO     | run                  |    - Unique symbols: 484
2026-05-06 04:12:29 | INFO     | run                  |    - Timestamp: 2026-05-06 09:12:23
2026-05-06 04:12:29 | INFO     | run                  |    - File: data/2026/05/2026-05-06.xlsx
2026-05-06 04:12:29 | INFO     | run                  | ======================================================================
2026-05-06 04:12:29 | DEBUG    | run                  | Sample data (first row):
2026-05-06 04:12:29 | DEBUG    | run                  | {'SYMBOL': 'BOP', 'SECTOR': 807, 'LDCP': 35.06, 'OPEN': 34.01, 'HIGH': 35.3, 'LOW': 33.65, 'CURRENT': 35.06, 'CHANGE': 0.57, 'CHANGE (%)': nan, 'VOLUME': 45253274, 'YEAR': 2026, 'MONTH': 5, 'DAY': 6, 'HOUR': 9, 'MINUTE': 12, 'DATETIME': '2026-05-06 09:12'}
2026-05-06 04:17:29 | INFO     | run                  | ======================================================================
2026-05-06 04:17:29 | INFO     | run                  | 🚀 MARKET DATA SCRAPER - SINGLE EXECUTION
2026-05-06 04:17:29 | INFO     | run                  | ======================================================================
2026-05-06 04:17:29 | INFO     | run                  | Execution Time: 2026-05-06 09:17:29 PKT
2026-05-06 04:17:29 | INFO     | run                  | Configuration:
2026-05-06 04:17:29 | INFO     | run                  |    - Timezone: Asia/Karachi
2026-05-06 04:17:29 | INFO     | run                  |    - Data directory: data
2026-05-06 04:17:29 | INFO     | run                  |    - Log directory: logs
2026-05-06 04:17:29 | INFO     | run                  | ======================================================================
2026-05-06 04:17:29 | INFO     | fetch_data           | Fetching data (Attempt 1/3)...
2026-05-06 04:17:29 | DEBUG    | fetch_data           | Establishing session with https://dps.psx.com.pk/
2026-05-06 04:17:33 | DEBUG    | fetch_data           | Requesting data from https://dps.psx.com.pk/market-watch
2026-05-06 04:17:34 | DEBUG    | fetch_data           | Response status: 200
2026-05-06 04:17:34 | DEBUG    | fetch_data           | Response content type: text/html; charset=utf-8
2026-05-06 04:17:34 | DEBUG    | fetch_data           | Response size: 463512 bytes
2026-05-06 04:17:34 | INFO     | fetch_data           | ✅ Data fetched successfully (Status: 200)
2026-05-06 04:17:34 | DEBUG    | parse_json           | Attempting JSON parsing...
2026-05-06 04:17:34 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-05-06 04:17:34 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-05-06 04:17:34 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-05-06 04:17:34 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-05-06 04:17:34 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-05-06 04:17:34 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-05-06 04:17:34 | DEBUG    | parse_html           | Table shape: (484, 11)
2026-05-06 04:17:34 | INFO     | parse_html           | ✅ HTML parsed successfully (484 rows)
2026-05-06 04:17:34 | INFO     | clean_data           | Cleaning data...
2026-05-06 04:17:34 | DEBUG    | clean_data           | Initial shape: (484, 11)
2026-05-06 04:17:34 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-05-06 04:17:34 | DEBUG    | clean_data           | Removed 'LISTED IN' column
2026-05-06 04:17:34 | DEBUG    | clean_data           | Converted LDCP from float64 to numeric
2026-05-06 04:17:34 | DEBUG    | clean_data           | Converted OPEN from float64 to numeric
2026-05-06 04:17:34 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
2026-05-06 04:17:34 | DEBUG    | clean_data           | Converted LOW from float64 to numeric
2026-05-06 04:17:34 | DEBUG    | clean_data           | Converted CURRENT from float64 to numeric
2026-05-06 04:17:34 | DEBUG    | clean_data           | Converted CHANGE from float64 to numeric
2026-05-06 04:17:34 | DEBUG    | clean_data           | Converted CHANGE (%) from str to numeric
2026-05-06 04:17:34 | DEBUG    | clean_data           | Converted VOLUME from int64 to numeric
2026-05-06 04:17:34 | INFO     | clean_data           | ✅ Data cleaned (484 rows, 16 columns)
2026-05-06 04:17:34 | DEBUG    | clean_data           | Final columns: ['SYMBOL', 'SECTOR', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME', 'YEAR', 'MONTH', 'DAY', 'HOUR', 'MINUTE', 'DATETIME']
2026-05-06 04:17:34 | DEBUG    | get_file_path        | Generated file path: data/2026/05/2026-05-06.xlsx
2026-05-06 04:17:34 | INFO     | save_data            | Saving data to: data/2026/05/2026-05-06.xlsx
2026-05-06 04:17:34 | DEBUG    | save_data            | Existing file found, merging data...
2026-05-06 04:17:34 | DEBUG    | save_data            | Loaded 1452 existing rows
2026-05-06 04:17:34 | DEBUG    | save_data            | Combined to 1936 rows
2026-05-06 04:17:34 | DEBUG    | save_data            | Writing to temporary file...
2026-05-06 04:17:34 | DEBUG    | save_data            | Data written to temp file: /home/runner/work/varelix-kyrion/varelix-kyrion/data/2026/05/tmpd2upkowv.xlsx
2026-05-06 04:17:34 | DEBUG    | save_data            | Temp file moved to final location
2026-05-06 04:17:34 | INFO     | save_data            | ✅ Data saved successfully (1936 total rows, 148072 bytes)
2026-05-06 04:17:34 | INFO     | run                  | ======================================================================
2026-05-06 04:17:34 | INFO     | run                  | 📊 EXECUTION SUMMARY:
2026-05-06 04:17:34 | INFO     | run                  |    ✅ Status: SUCCESS
2026-05-06 04:17:34 | INFO     | run                  |    - Rows processed: 484
2026-05-06 04:17:34 | INFO     | run                  |    - Unique symbols: 484
2026-05-06 04:17:34 | INFO     | run                  |    - Timestamp: 2026-05-06 09:17:29
2026-05-06 04:17:34 | INFO     | run                  |    - File: data/2026/05/2026-05-06.xlsx
2026-05-06 04:17:34 | INFO     | run                  | ======================================================================
2026-05-06 04:17:34 | DEBUG    | run                  | Sample data (first row):
2026-05-06 04:17:34 | DEBUG    | run                  | {'SYMBOL': 'BOP', 'SECTOR': 807, 'LDCP': 35.06, 'OPEN': 34.01, 'HIGH': 35.3, 'LOW': 33.65, 'CURRENT': 35.06, 'CHANGE': 0.57, 'CHANGE (%)': nan, 'VOLUME': 45253274, 'YEAR': 2026, 'MONTH': 5, 'DAY': 6, 'HOUR': 9, 'MINUTE': 17, 'DATETIME': '2026-05-06 09:17'}
2026-05-06 04:22:35 | INFO     | run                  | ======================================================================
2026-05-06 04:22:35 | INFO     | run                  | 🚀 MARKET DATA SCRAPER - SINGLE EXECUTION
2026-05-06 04:22:35 | INFO     | run                  | ======================================================================
2026-05-06 04:22:35 | INFO     | run                  | Execution Time: 2026-05-06 09:22:35 PKT
2026-05-06 04:22:35 | INFO     | run                  | Configuration:
2026-05-06 04:22:35 | INFO     | run                  |    - Timezone: Asia/Karachi
2026-05-06 04:22:35 | INFO     | run                  |    - Data directory: data
2026-05-06 04:22:35 | INFO     | run                  |    - Log directory: logs
2026-05-06 04:22:35 | INFO     | run                  | ======================================================================
2026-05-06 04:22:35 | INFO     | fetch_data           | Fetching data (Attempt 1/3)...
2026-05-06 04:22:35 | DEBUG    | fetch_data           | Establishing session with https://dps.psx.com.pk/
2026-05-06 04:22:38 | DEBUG    | fetch_data           | Requesting data from https://dps.psx.com.pk/market-watch
2026-05-06 04:22:40 | DEBUG    | fetch_data           | Response status: 200
2026-05-06 04:22:40 | DEBUG    | fetch_data           | Response content type: text/html; charset=utf-8
2026-05-06 04:22:40 | DEBUG    | fetch_data           | Response size: 463512 bytes
2026-05-06 04:22:40 | INFO     | fetch_data           | ✅ Data fetched successfully (Status: 200)
2026-05-06 04:22:40 | DEBUG    | parse_json           | Attempting JSON parsing...
2026-05-06 04:22:40 | DEBUG    | parse_json           | Response preview: <table class="tbl" data-page-length="25"><thead class="tbl__head"><!-- tr--><!--   th(colspan="11")--><!--   th.center(colspan="2", style="width: 110px;") TOTAL BUY ORDERS--><!--   th.center(colspan="2", style="width: 110px;") TOTAL SELL ORDERS--><tr><th data-name="symbol">SYMBOL</th><th data-name="sector">SECTOR</th><th data-name="listed">LISTED IN</th><th class="right" data-name="ldcp">LDCP</th><th class="right" data-name="open">OPEN</th><th class="right" data-name="high">HIGH</th><th class="r
2026-05-06 04:22:40 | WARNING  | parse_json           | ⚠️ JSON parsing failed: Expecting value: line 1 column 1 (char 0)
2026-05-06 04:22:40 | INFO     | run                  | JSON parsing failed, trying HTML fallback...
2026-05-06 04:22:40 | INFO     | parse_html           | Attempting HTML fallback parsing...
2026-05-06 04:22:40 | DEBUG    | parse_html           | Found 1 table(s) in HTML
2026-05-06 04:22:40 | DEBUG    | parse_html           | Table columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-05-06 04:22:40 | DEBUG    | parse_html           | Table shape: (484, 11)
2026-05-06 04:22:40 | INFO     | parse_html           | ✅ HTML parsed successfully (484 rows)
2026-05-06 04:22:40 | INFO     | clean_data           | Cleaning data...
2026-05-06 04:22:40 | DEBUG    | clean_data           | Initial shape: (484, 11)
2026-05-06 04:22:40 | DEBUG    | clean_data           | Initial columns: ['SYMBOL', 'SECTOR', 'LISTED IN', 'LDCP', 'OPEN', 'HIGH', 'LOW', 'CURRENT', 'CHANGE', 'CHANGE (%)', 'VOLUME']
2026-05-06 04:22:40 | DEBUG    | clean_data           | Removed 'LISTED IN' column
2026-05-06 04:22:40 | DEBUG    | clean_data           | Converted LDCP from float64 to numeric
2026-05-06 04:22:40 | DEBUG    | clean_data           | Converted OPEN from float64 to numeric
2026-05-06 04:22:40 | DEBUG    | clean_data           | Converted HIGH from float64 to numeric
